Station;Date Releve;Heure;Num Releve;Conductivite;Salinite;Comm Salinite;Temperature;Ph;Redox;Oxygene;Saturation;Niveau Ngf;Comm Ngf;Niveau Relatif;Niveau 0;Turbidite;Couleur;Macrophyte;Remarques
Etangs du Grand Bagnas - Z. sud mare 2 (en face mare 1);26/03/2019;11:41;;;;;;;;;;;Sec;;;;;;a sec_ ciel bleu_ vent modére NO
Etangs du Grand Bagnas - Z. sud mare 3;26/03/2019;11:30;;;;;;;;;;;a sec;;;;;;A sec. Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - PB4;26/03/2019;11:19;;93.47;66.3;;13.4;8.37;;11.7;109.7;0.12;;;;75;;;ciel bleu_ vent faible 
Etangs du Grand Bagnas - LONGE;26/03/2019;09:29;;0.815;0.2;;11.6;7.72;;6.85;62.1;0.68;;;;30;;;Ciel bleu_ vent fort
Etangs du Grand Bagnas - Canal de l'ouest;26/03/2019;09:28;;0.842;0.2;;12.45;8.16;;9.75;90.76;0.72;;1.63;;30;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - MareB5roseau;26/03/2019;09:42;;5.31;2.8;;12.7;7.9;;5.02;47;;;0.79;;10;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare aux chevaux;26/03/2019;11:55;;21;12.4;;14;9.13;;12.36;120.9;0.05;;;;75;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare chevaux Piezo;26/03/2019;11:55;;108.7;;OFL;12.2;;;;;-0.02;;0.86;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare aux pelobates;26/03/2019;12:07;;34.2;21;;13.3;8.5;;10.93;103.7;0.17;;;;30;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare pelo Piezo;26/03/2019;12:07;;33.9;20.8;;12.9;;;;;;;0.84;;;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare pelo - 2A;26/03/2019;12:16;;19.26;11.3;;14.7;8.23;;10.1;98.6;0.27;;;;20;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare pelo - 3;26/03/2019;12:30;;2.95;1.4;;16.1;8.33;;10.24;102.8;0.215;;;;20;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare pelo - 3 piezo;26/03/2019;12:30;;2.08;0.9;;14.2;;;;;;;1.11;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare ZI;26/03/2019;10:36;;35.4;21.7;;11.6;8.22;;10.51;95;;Hors Service;0.57;;10;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Mare ZI Piezo;26/03/2019;10:36;;69.3;46.5;;13.2;;;;;;;0.9;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Pairollet;26/03/2019;10:20;;33.4;20.5;;13.9;8.22;;9.1;86.9;0.33;;;;0;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Pairollet Piezo;26/03/2019;10:20;;52.8;34.1;;13.8;;;;;;;0.55;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - PB3 Piezo;26/03/2019;10:51;;117.1;;OFL;11.7;;;;;;;0.74;;;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - PB4 piezo;26/03/2019;11:19;;119.5;;OFL;12.2;;;;;0.05;;0.99;;;;;ciel bleu_ vent fort NO
Piezo_dune;26/03/2019;12:30;;1.215;0.4;;14.8;;;;;;;0.65;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Pioch couguioul;26/03/2019;10:08;;4.2;2.1;;12.5;7.92;;7.75;71.4;0.66;;;;430;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Rieu nord;26/03/2019;11:04;;88.3;61.5;;12.2;8.64;;12.7;116.6;0.11;;;;0;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Rieu nord piezo;26/03/2019;11:04;;111.1;;OFL;12.7;;;;;;;1.03;;;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Scirpaie GB8;26/03/2019;09:50;;8.84;4.8;;10.7;8.41;;10.4;92.4;0.6;;;;20;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Scirpaie GB8 piezo;26/03/2019;09:50;;22.9;13.5;;11.1;;;;;;;0.13;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Zone sud mare 1 (reouverte);26/03/2019;11:41;;5.36;2.8;;15.2;8.16;;12.15;120.5;0.22;;;;20;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Z. sud mare 3 piezo;26/03/2019;11:30;;77.7;53.3;;13.5;;;;;0.07;;1.15;;;;;ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Zone sud Piezo;26/03/2019;11:41;;29.6;17.9;;12.6;;;;;;;1.49;;;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - PB3;26/03/2019;10:51;;145.1;;OFL;12.8;7.97;;10.86;100.6;0.08;;;;50;;;Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - Zone sud Canal;26/03/2019;14:41;;3.43;1.7;;12.3;8.2;;7.1;65.5;0.76;;;;10;;;Ciel bleu_ vent fort NO 
Etangs du Grand Bagnas - TB5 centre;26/03/2019;09:09;;5.66;3;;10;9.41;;9.9;87.6;0.62;;;;5;;;Martelliere ouverte
Etangs du Grand Bagnas - EID Piezo;26/03/2019;08:49;;35;21.5;;11.8;;;;;;;0.83;;;;;nuageux_ vent nul_ pluie jours precedents
Etangs du Grand Bagnas - TB5 centre piezo;26/03/2019;09:09;;6.64;3.5;;10.6;;;;;;niveau piezo>niveau etang;0.12;;;;;plus haut que l'etang
Etangs du Grand Bagnas - canal du midi martelliere;26/03/2019;08:30;;0.966;0.2;;13.8;8.23;;10.13;96.1;;;-0.13;;20;;;vague. Ciel bleu_ vent fort NO
Etangs du Grand Bagnas - EID;26/03/2019;08:49;;5.15;2.7;;10.1;7.6;;4.6;40.4;;;0.3;;5;;;
Etangs du Grand Bagnas - echelleGB2;26/03/2019;08:59;;6.76;3.6;;10.8;9.58;;6.15;55.3;;;;;0;;;
Etangs du Grand Bagnas - echelleGB2piezo;26/03/2019;08:59;;;;;;;;;;;sous l'eau;;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;26/03/2019;09:42;;44.1;27.8;;13;;;;;0.48;;;;;;;
Etangs du Grand Bagnas - Mare pelo - 2A piezo;26/03/2019;12:16;;;;;;;;;;;;;;;;;
Etangs du Grand Bagnas - Mare pelo - 2B;14/03/2019;15:37;;;;;;;;;;;a sec;;;;;;a sec
Etangs du Grand Bagnas - Z. sud mare 2 (en face mare 1);14/03/2019;14:30;;;;;;;;;;;sec;;;;;;a sec_ couvert_ vent modere nord
Etangs du Grand Bagnas - Z. sud mare 3;14/03/2019;14:20;;;;;;;;;;;a sec;;;;;;a sec. Nuageux_ vent modere nord
Etangs du Grand Bagnas - Mare aux pelobates;14/03/2019;15:35;;31.9;19.5;;13.8;8.62;;15.1;144.9;0.22;;;;50;;;ciel nuageux_ vent fort nord
Etangs du Grand Bagnas - Zone sud Canal;14/03/2019;14:30;;3.6;1.8;;12.4;8.28;;8.99;83.3;0.835;;;;10;;;couvert_ vent modere N
Etangs du Grand Bagnas - TB5 centre piezo;14/03/2019;10:10;;6.62;3.5;;12.3;;;;;;niveau piezo>niveau etang;0.04;;;;;niveau sup à la lagune. Nuageux_ vent fort nord
Etangs du Grand Bagnas - EID Piezo;14/03/2019;09:32;;34.9;21.4;;11.9;;;;;;;0.83;;;;;nuageux_ vent faible
Etangs du Grand Bagnas - canal du midi martelliere;14/03/2019;09:00;;0.457;0;;12.9;8.19;;9.86;92;;;-0.11;;30;;;nuageux_ vent faible 
Etangs du Grand Bagnas - EID;14/03/2019;09:32;;4.82;2.5;;10.3;7.67;;6.26;55.4;;;0.33;;20;;;nuageux_ vent faible 
Etangs du Grand Bagnas - LONGE;14/03/2019;10:50;;0.643;0.1;;12.1;7.97;;9.27;84.9;0.7;;;;40;;;nuageux_ vent fort N
Etangs du Grand Bagnas - MareB5roseau;14/03/2019;11:07;;3.58;1.8;;12.6;8.25;;9.48;88.3;;;0.82;;10;;;nuageux_ vent fort N
Etangs du Grand Bagnas - MareB5roseau piezo;14/03/2019;11:07;;43.1;27;;13.4;;;;;0.45;;;;;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Mare ZI;14/03/2019;13:10;;30.4;18.4;;13;8.26;;10.94;101.7;;Hors Service;0.66;;0;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Pairollet;14/03/2019;12:00;;30.3;18.5;;15.4;8.39;;12.72;125.2;0.365;;;;0;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Pairollet Piezo;14/03/2019;12:00;;52.2;33.9;;14.2;;;;;;;0.51;;;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Scirpaie GB8;14/03/2019;11:20;;8.44;4.6;;13.3;8.05;;6.63;61.9;0.65;;;;10;;;nuageux_ vent fort N
Etangs du Grand Bagnas - PB4;14/03/2019;14:40;;69.4;46.6;;14.5;8.59;;11.75;114.7;0.18;;;;30;;;nuageux_ vent fort N  
Etangs du Grand Bagnas - Canal de l'ouest;14/03/2019;10:36;;1.081;0.3;;12.3;8.22;;10.01;92.1;0.76;;1.67;;30;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - echelleGB2;14/03/2019;09:50;;6.59;3.5;;11.1;9.6;;9.94;89.6;;;;;5;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - echelleGB2piezo;14/03/2019;09:50;;;;;;;;;;;sous l'eau;;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Mare chevaux Piezo;14/03/2019;14:55;;107.4;;OFL;14;;;;;0.1;;0.74;;;;;Nuageux_ vent fort nord
Etangs du Grand Bagnas - Mare pelo Piezo;14/03/2019;15:45;;33.6;20.6;;14.2;;;;;;;0.78;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Mare pelo - 2A;14/03/2019;15:37;;17;9.9;;15;8.22;;9.93;98.4;0.305;;;;10;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Mare pelo - 3 piezo;14/03/2019;16:08;;2.03;0.9;;14.3;;;;;;;1.08;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Mare ZI Piezo;14/03/2019;13:15;;69.3;46.6;;14;;;;;;;0.82;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - PB3 Piezo;14/03/2019;13:40;;114.4;;OFL;13.1;;;;;;;0.69;;;;;Nuageux_ vent fort Nord
Etangs du Grand Bagnas - PB4 piezo;14/03/2019;14:00;;119.3;;OFL;13.3;;;;;0.12;;0.92;;;;;nuageux_ vent fort nord
Piezo_dune;14/03/2019;16:08;;1.181;0.4;;13.7;;;;;;;0.63;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Rieu nord;14/03/2019;12:10;;76.6;52.5;;14.7;9.43;;21.1;206;0.16;;;;0;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Rieu nord piezo;14/03/2019;12:10;;110.7;;OFL;13.2;;;;;;;0.97;;;;;nuageux_ vent fort Nord
Etangs du Grand Bagnas - Scirpaie GB8 piezo;14/03/2019;11:20;;21.4;12.5;;12.7;;;;;;niveau >bassin: eau bassin? Rempli par vagues?;0.09;;;;;nuageux_ vent fort Nord
Etangs du Grand Bagnas - TB5 centre;14/03/2019;10:10;;6.01;3.2;;11.4;9.44;;10.35;93.3;0.66;;;;10;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Zone sud mare 1 (reouverte);14/03/2019;14:30;;3.19;1.5;;15;8.37;;13.3;131.5;0.3;;;;10;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Z. sud mare 3 piezo;14/03/2019;14:20;;78.8;53.9;;13.1;;;;;0.15;;1.07;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - Zone sud Piezo;14/03/2019;14:30;;29.9;18.1;;12.3;;;;;;;1.4;;;;;nuageux_ vent fort nord
Etangs du Grand Bagnas - PB3;14/03/2019;13:40;;90.9;63.9;;13.7;8.5;;12.44;117.9;0.135;;;;75;;;nuageux_ vent fort Nord
Etangs du Grand Bagnas - Petit Pont;14/03/2019;10:30;;17.44;10.1;;12.3;7.93;;7.82;71.9;-0.06;;;;75;;;nuageux_ vent fort nort
Etangs du Grand Bagnas - Mare pelo - 3;14/03/2019;16:08;;2.5;1.1;;14.2;8.39;;11.33;111.1;0.34;;;;20;;;nuageux_ vent vort nord
Etangs du Grand Bagnas - Mare aux chevaux;14/03/2019;14:55;;16.82;9.8;;14.1;9.03;;13.24;128.6;0.09;;;;30;;;
Etangs du Grand Bagnas - Mare pelo - 2A piezo;14/03/2019;15:37;;18.64;10.8;;14.5;;;;;;;;;;;;
Etangs du Grand Bagnas - Mare aux chevaux;01/03/2019;16:09;;14.62;8.4;;15.2;8.78;;13.4;134.4;;;;;20;;;couvert_ vent modere N
Etangs du Grand Bagnas - Mare aux pelobates;01/03/2019;16:45;;30.3;18.5;;15.1;6.68;;95.96;155.7;;;;;75;;;couvert_ vent modere N
Etangs du Grand Bagnas - Mare pelo - 2A;01/03/2019;17:33;;15.45;8.9;;15.6;8.19;;9.42;93.7;;;;;10;;;couvert_ vent modere N
Etangs du Grand Bagnas - Mare pelo - 3;01/03/2019;17:17;;2.3;1;;15.7;8.57;;13.71;136;;;;;30;;;couvert_ vent modere N
Etangs du Grand Bagnas - Mare pelo - 3 piezo;01/03/2019;17:17;;2.01;0.8;;14.6;;;;;;;1.08;;;;;couvert_ vent modere N
Etangs du Grand Bagnas - PB4 piezo;01/03/2019;16:27;;118.3;;OFL;15;;;;;;;0.85;;;;;couvert_ vent modere N
Etangs du Grand Bagnas - Zone sud Canal;01/03/2019;15:39;;3.09;1.5;;12.8;8.1;;6.93;64.5;;;;;20;;;couvert_ vent modere N
Etangs du Grand Bagnas - Zone sud mare 1 (reouverte);01/03/2019;15:39;;3;1.4;;16.3;8.24;;9.76;99.4;;;;;20;;;couvert_ vent modere N
Etangs du Grand Bagnas - Z. sud mare 3 piezo;01/03/2019;15:15;;77.7;53.2;;14.8;;;;;;;0.99;;;;;couvert_ vent modere N
Etangs du Grand Bagnas - Zone sud Piezo;01/03/2019;15:39;;29.6;17.9;;12.3;;;;;;;1.34;;;;;couvert_ vent modere N
Etangs du Grand Bagnas - Mare pelo - 2B;01/03/2019;17:33;;9.02;5;;14.5;7.9;;4.65;45.3;;;;;500;;;couvert_ vent modere N 
Etangs du Grand Bagnas - TB5 centre piezo;01/03/2019;10:08;;6.48;3.5;;12.5;;;;;;niveau piezo>niveau etang;0.17;;;;;niveau piezo>niveau etang. Nuageux_ vent faible
Etangs du Grand Bagnas - Mare ZI Piezo;01/03/2019;13:57;;69;46.5;;15.8;;;;;;niveau plus haut que le niveau de l'etang?;0.77;;;;;niveau plus haut que le niveau de l'etang. Nuageux_ vent modere N
Etangs du Grand Bagnas - Canal de l'ouest;01/03/2019;10:34;;0.706;0.1;;12.3;8.11;;10.58;96.1;;;1.7;;20;;;nuageux_ vent faible
Etangs du Grand Bagnas - canal du midi martelliere;01/03/2019;08:42;;0.472;0;;12.5;8.2;;11.08;102.6;;;-0.115;;20;;;nuageux_ vent faible N
Etangs du Grand Bagnas - EID;01/03/2019;09:26;;4.48;2.3;;9.2;7.8;;7.75;66.5;;;0.3;;5;;;Nuageux_ vent faible N
Etangs du Grand Bagnas - EID Piezo;01/03/2019;09:26;;34.8;21.4;;11.6;;;;;;;0.78;;;;;nuageux_ vent faible N
Etangs du Grand Bagnas - echelleGB2;01/03/2019;09:49;;6.58;3.5;;12.3;9.41;;6.31;58.3;;;0.7;;0;;;Nuageux_ vent faible N
Etangs du Grand Bagnas - Petit Pont;01/03/2019;10:34;;16.38;9.4;;12.1;7.94;;8.76;79.3;;;;;5;;;nuageux_ vent faible N
Etangs du Grand Bagnas - TB5 centre;01/03/2019;10:08;;5.91;3.1;;13.4;9.09;;6.07;56.5;;;0.655;;5;;;nuageux_ vent faible N
Etangs du Grand Bagnas - echelleGB2piezo;01/03/2019;09:49;;;;;;;;;;;Sous l'eau;;;;; ;nuageux_ vent faibleN
Etangs du Grand Bagnas - LONGE;01/03/2019;10:57;;1.354;0.5;;11.8;7.8;;8.54;77.3;;;;;10;;;nuageux_ vent fort N
Etangs du Grand Bagnas - MareB5roseau;01/03/2019;11:14;;4.32;2.2;;14.2;7.83;;6.56;63;;;0.83;;10;;;nuageux_ vent fort N
Etangs du Grand Bagnas - MareB5roseau piezo;01/03/2019;11:14;;44.2;28;;14.5;;;;;;;0.45;;;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Pairollet;01/03/2019;12:13;;28;17;;16.6;8.28;;10.38;103.8;;;;;0;;;nuageux_ vent fort N
Etangs du Grand Bagnas - PB3 Piezo;01/03/2019;14:33;;111.3;;OFL;15.6;;;;;;;0.64;;;;;Nuageux_ vent fort N
Etangs du Grand Bagnas - Pioch couguioul;01/03/2019;12:00;;3.54;1.7;;12.9;8.01;;10.24;94.9;;;;;10;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Scirpaie GB8;01/03/2019;11:31;;8.37;4.6;;14.3;8.05;;6.98;67.7;;;;;0;;;nuageux_ vent fort N
Etangs du Grand Bagnas - Mare chevaux Piezo;01/03/2019;16:09;;107.1;;OFL;15.7;;;;;;;0.71;;;;;Nuageux_ vent modere N
Etangs du Grand Bagnas - Mare ZI;01/03/2019;13:57;;25.4;15.3;;15.2;8.18;;11.17;110.3;;Hors Service;0.73;;0;;;nuageux_ vent modere N
Etangs du Grand Bagnas - Pairollet Piezo;01/03/2019;12:19;;52.6;34.1;;16.3;;;;;;;0.47;;;;;nuageux_ vent modere N
Etangs du Grand Bagnas - PB4;01/03/2019;16:27;;57.1;37.4;;15.6;8.67;;10.89;108.5;;;;;50;;;nuageux_ vent modere N
Piezo_dune;01/03/2019;17:17;;1.286;0.4;;11.3;;;;;;;0.63;;;;;nuageux_ vent modere N
Etangs du Grand Bagnas - Rieu nord;01/03/2019;12:46;;63.3;42.2;;15.6;9.63;;15.6;153.8;;;;;0;;;nuageux_ vent modere N
Etangs du Grand Bagnas - Rieu nord piezo;01/03/2019;12:46;;110.1;;OFL;16.2;;;;;;;0.33;;;;;nuageux_ vent modere N
Etangs du Grand Bagnas - PB3;01/03/2019;14:33;;68;45.8;;16.9;8.63;;10.73;112;;;0.17;;50;;;nuageux_ vent modere N
Etangs du Grand Bagnas - Z. sud mare 3;01/03/2019;15:15;;32.1;19.8;;18.7;8.91;;17.5;186.5;;quasiment a sec;;;200;;;quasiment a sec. Ciel couvert_ vent modere N
Etangs du Grand Bagnas - Z. sud mare 2 (en face mare 1);01/03/2019;15:39;;;;;;;;;;;sec;;;;;;sec_ couvert_ vent modere N
Etangs du Grand Bagnas - Mare pelo Piezo;01/03/2019;16:45;;33.2;20.4;;16.1;;;;;;;0.73;;;;;
Etangs du Grand Bagnas - Mare pelo - 2A piezo;01/03/2019;17:33;;18.39;10.7;;12.3;;;;;;;;;;;;
Etangs du Grand Bagnas - Mare pelo - 2A piezo;21/02/2019;11:30;;18.14;10.6;;13.7;;;;;;;;;;;;mesure hauteurs relatiives hors service (tube piezo cassé par chevaux)_ relevé hydro supplementaire (restauration mare pélobates)_ 
Etangs du Grand Bagnas - Mare aux pelobates;21/02/2019;11:30;;29.8;18;;12.1;;;;;;0_305;;;;;;relevé hydro supplementaire (restauration mare pélobates)
Etangs du Grand Bagnas - Mare pelo Piezo;21/02/2019;11:30;;33.4;20.4;;11;;;;;;;0.69;;;;;relevé hydro supplementaire (restauration mare pélobates)
Etangs du Grand Bagnas - Mare pelo - 2A;21/02/2019;11:30;;14.72;8.4;;12.9;;;;;;;;;;;;relevé hydro supplementaire (restauration mare pélobates)
Etangs du Grand Bagnas - Mare pelo - 2B;21/02/2019;11:30;;7.5;4.1;;12.4;;;;;;;;;;;;relevé hydro supplementaire (restauration mare pélobates)
Etangs du Grand Bagnas - Mare pelo - 3;21/02/2019;11:30;;2.08;0.9;;11.9;;;;;;;;;;;;relevé hydro supplementaire (restauration mare pélobates)
Etangs du Grand Bagnas - Mare pelo - 3 piezo;21/02/2019;11:30;;1.979;0.8;;11.8;;;;;;;1.045;;;;;relevé hydro supplementaire (restauration mare pélobates)
Piezo_dune;21/02/2019;11:30;;1.271;0.4;;14.8;;;;;;;0.6;;;;;relevé hydro supplementaire (restauration mare pélobates)
Etangs du Grand Bagnas - Mare ZI Piezo;13/02/2019;12:16;;69.2;46;;10.8;;;;;;;0.715;;;;;ciel bleu_ vent nul _ 1 cm de pluie jours précedents 
Etangs du Grand Bagnas - Z. sud mare 3 piezo;13/02/2019;13:50;;77.8;52.8;;11.1;;;;;;;0.93;;;;;ciel bleu_ vent nul _ 1 cm pluie jours precedents
Etangs du Grand Bagnas - PB3;13/02/2019;12:45;;58.5;37.9;;9.8;8.64;;12.12;106;0.215;;;;20;;;ciel bleu_ vent nul_ 1 cm de pluie
Etangs du Grand Bagnas - canal du midi martelliere;13/02/2019;08:31;;0.459;0;;8.1;8.1;;13.02;107.8;;;-0.085;;10;;;ciel bleu_ vent nul_ 1 cm pluie
Etangs du Grand Bagnas - EID;13/02/2019;09:10;;4.23;2.1;;4.9;7.66;;6.69;51;0.3;;;;0;;;ciel bleu_ vent nul_ 1 cm pluie
Etangs du Grand Bagnas - Mare chevaux Piezo;13/02/2019;14:54;;107.2;;OFL;10.8;;;;;;;0.61;;;;;ciel bleu_ vent nul_ 1 cm pluie jours precedents
Etangs du Grand Bagnas - PB4;13/02/2019;13:30;;50.8;32.2;;9.7;8.61;;12.62;110.4;;;;;20;;;ciel bleu_ vent nul_ 1 cm pluie jours précedents
Etangs du Grand Bagnas - Rieu nord;13/02/2019;13:04;;56.2;36.5;;12.2;8.85;;18.05;165.3;;;;;0;;;ciel bleu_ vent nul_ 1 cm pluie jours précedents
Etangs du Grand Bagnas - PB3 Piezo;13/02/2019;12:45;;110.3;;OFL;10.7;;;;;;;0.6;;;;;ciel bleu_ vent nul_ 1 cm pluie jours precedents 
Etangs du Grand Bagnas - PB4 piezo;13/02/2019;13:30;;119.7;;OFL;10;;;;;;;0.81;;;;;Ciel bleu_ vent nul_ 1 cm pluie jours precedents 
Etangs du Grand Bagnas - Z. sud mare 2 (en face mare 1);13/02/2019;14:15;;15.82;9.2;;15.6;8.29;;13.61;134.2;;;;;10;;;ciel bleu_ vent nul_ 1 cm pluie jours precedents 
Etangs du Grand Bagnas - EID Piezo;13/02/2019;09:10;;35.2;21.5;;9.1;;;;;;;0.76;;;;;ciel bleu_ vent nul_ 1cm pluie
Etangs du Grand Bagnas - echelleGB2;13/02/2019;09:30;;6.48;3.4;;7.5;9.33;;8.96;73.6;;;;;0;;;ciel bleu_ vent nul_ 1cm pluie
Etangs du Grand Bagnas - Pairollet;13/02/2019;11:55;;26.7;15.9;;10.7;8.41;;13.07;113;;;;;0;;;ciel bleu_ vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - Pairollet Piezo;13/02/2019;11:55;;52.7;33.7;;10.9;;;;;;;0.47;;;;;ciel bleu_ vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - Petit Pont;13/02/2019;10:13;;13.49;7.6;;7.7;8.05;;10.82;88.4;;;;;5;;;ciel bleu_ vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - Pioch couguioul;13/02/2019;11:40;;3.26;1.5;;8.1;8;;10.42;85.4;;;;;0;;;ciel bleu_ vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - Scirpaie GB8;13/02/2019;11:10;;8.27;4.5;;8.3;8.34;;9.98;83.2;;;;;5;;;ciel bleu_ vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - TB5 centre piezo;13/02/2019;09:45;;6.31;3.3;;7.3;;;;;;;0.17;;;;;ciel bleu_ vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - Z. sud mare 3;13/02/2019;13:50;;26.5;15.9;;13.5;8.4;;17.1;162.8;;;;;100;;;ciel bleu_ vent nul_ 1cm pluie jours precedents 
Etangs du Grand Bagnas - Zone sud Piezo;13/02/2019;14:15;;29.1;17.6;;12.1;;;;;;;1.24;;;;;ciel bleu_ vent nul_ 1cm pluie jours precedents 
Etangs du Grand Bagnas - Scirpaie GB8 piezo;13/02/2019;11:10;;;;;;;;;;;sous l'eau;;;;;;ciel bleu_ vent nul_ 1cm pluie jours précedents / submergé
Etangs du Grand Bagnas - echelleGB2piezo;13/02/2019;09:30;;;;;;;;;;;sous l'eau;;;;;;ciel bleu_ vent nul_ pluie 1cm jour précedent
Etangs du Grand Bagnas - Mare aux chevaux;13/02/2019;12:54;;13.33;7.5;;11.7;8.42;;13.1;117.9;;;;;10;;;ciel bleu. Vent nul_ 1 cm pluie jours precedents
Etangs du Grand Bagnas - LONGE;13/02/2019;10:35;;1.692;0.6;;5.7;8.1;;11.07;85.9;;;;;0;;;ciel bleu. Vent nul_ 1 cm pluie jours précedents
Etangs du Grand Bagnas - Rieu nord piezo;13/02/2019;13:04;;110.3;;OFL;11.2;;;;;;;0.88;;;;;Ciel bleu. Vent nul_ 1 cm pluie jours précedents
Etangs du Grand Bagnas - Zone sud mare 1 (reouverte);13/02/2019;14:15;;3.37;1.6;;11.2;8.26;;10.43;93.1;;;;;40;;;ciel bleu. Vent nul_ 1 cm pluie jours precedents 
Etangs du Grand Bagnas - MareB5roseau;13/02/2019;10:55;;1.411;0.5;;7.9;8.37;;12.15;99.5;0.84;;;;5;;;ciel bleu. Vent nul_ 1cm pluie jours precedents
Etangs du Grand Bagnas - MareB5roseau piezo;13/02/2019;10:55;;45.8;28.8;;10.1;;;;;;;0.48;;;;;ciel bleu. Vent nul_ 1cm pluie jours precedents 
Etangs du Grand Bagnas - TB5 centre;13/02/2019;09:45;;5.53;2.8;;6.4;9.28;;12.9;102.4;0.645;;;;5;;;ciel bleu. Vent nul. 1cm de pluie jours precedents
Etangs du Grand Bagnas - Mare ZI;13/02/2019;12:16;;22.7;13.2;;9.6;8.11;;10.36;87.6;0.79;Hors Service;;;0;;;ciel bleu.vent nul
Etangs du Grand Bagnas - Canal de l'ouest;13/02/2019;10:13;;1.083;0.3;;7.6;8.4;;12.44;101.1;1.67;;;;5;;;ciel bleu.vent nul_ 1cm pluie jours précedents
Etangs du Grand Bagnas - Mare pelo - 2B;13/02/2019;15:43;;6.99;3.8;;12.9;8.2;;10.85;100.7;;;;;5;;;nuageux_ vent faible NE 1cm pluie jours precedents
Piezo_dune;13/02/2019;16:02;;1.295;0.4;;11;;;;;0.53;;;;;;;nuageux_ vent faible NE_ 1 cm pluie jours precedents
Etangs du Grand Bagnas - Mare pelo - 2A piezo;13/02/2019;15:43;;18.55;10.8;;11.5;;;;;;;1.665;;;;;nuageux_ vent faible NE_ 1 cm pluie jours precedents 
Etangs du Grand Bagnas - Mare pelo - 3;13/02/2019;16:02;;2.08;0.9;;12.7;8.4;;12.3;110.6;;;;;10;;;nuageux_ vent faible NE_ 1 cm pluie jours precedents 
Etangs du Grand Bagnas - Mare aux pelobates;13/02/2019;15:30;;29.6;17.9;;13.5;8.62;;19.84;186.7;;;;;100;;;nuageux_ vent faible NE_ 1cm pluie jours precedents
Etangs du Grand Bagnas - Mare pelo - 2A;13/02/2019;15:43;;14.28;8.2;;12.6;8.4;;12.41;114.3;;;;;5;;;nuageux_ vent faible NE_ 1cm pluie jours precedents
Etangs du Grand Bagnas - Mare pelo Piezo;13/02/2019;15:30;;33.5;20.5;;11.9;;;;;;;0.67;;;;;nuageux_ vent faible NE_ 1cm pluie jours precedents 
